-7.50	-7.50
-6.00	-6.00
-4.50	-4.50
-3.00	-3.00
-1.50	-1.50
0.00	0.00
1.50	1.50
3.00	3.00
4.50	4.50
6.00	6.00
7.50	7.50
-7.50	7.50
-6.00	6.00
-4.50	4.50
-3.00	3.00
-1.50	1.50
1.50	-1.50
3.00	-3.00
4.50	-4.50
6.00	-6.00
7.50	-7.50
-6.00	7.50
-4.50	7.50
-3.00	7.50
-1.50	7.50
0.00	7.50
1.50	7.50
3.00	7.50
4.50	7.50
6.00	7.50
7.50	6.00
7.50	4.50
7.50	3.00
7.50	1.50
7.50	0.00
7.50	-1.50
7.50	-3.00
7.50	-4.50
7.50	-6.00
-6.00	-7.50
-4.50	-7.50
-3.00	-7.50
-1.50	-7.50
0.00	-7.50
1.50	-7.50
3.00	-7.50
4.50	-7.50
6.00	-7.50
-7.50	6.00
-7.50	4.50
-7.50	3.00
-7.50	1.50
-7.50	0.00
-7.50	-1.50
-7.50	-3.00
-7.50	-4.50
-7.50	-6.00
-6.00	0.00
-4.50	0.00
-3.00	0.00
-1.50	0.00
1.50	0.00
3.00	0.00
4.50	0.00
6.00	0.00
0.00	-6.00
0.00	-4.50
0.00	-3.00
0.00	-1.50
0.00	1.50
0.00	3.00
0.00	4.50
0.00	6.00
-3.00	4.50
-1.50	4.50
1.50	4.50
3.00	4.50
4.50	3.00
4.50	1.50
4.50	-1.50
4.50	-3.00
3.00	-4.50
1.50	-4.50
-1.50	-4.50
-3.00	-4.50
-4.50	-3.00
-4.50	-1.50
-4.50	1.50
-4.50	3.00
